xR,xEGF,xRa,xR2,xRP,xPLCg,xRPL,xRPLP,xPLCgP,xGrb,xRG,xSOS,xRGS,xGS,xShc,xRSh,xRShP,xShP,xRShG,xShG,xRShGS,xShGS,xPLCgPI,xe1,xerp,xe2,xeplcg,xe3,xeshp
-0.59956974,-0.59956974,-17.405497,-30.295132,-3.6044958,-0.1785235,47.26685,-0.31775317,2.0060418,4.6457267,-3.067312,1.5784148,-0.9123803,-0.6660345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.795147,0.067242414,-0.067242414,-0.01853249,0.018532492,0.0,0.0
-0.5983256,-0.5983256,-17.303633,-30.31393,-3.4006329,0.0043073767,46.142883,0.6099119,1.9620247,4.6195154,-3.0613067,1.5972043,-0.9261066,-0.65745306,0.01487479,-0.009340659,-0.015198551,-0.013830029,0.004065373,0.035075866,-0.009061407,-0.004588033,-48.717278,0.07018633,-0.07018633,0.002055621,-0.002055621,0.001997249,-0.001997249
-0.5687008,-0.5687008,-17.393269,-30.290302,-3.2091057,0.18717761,45.044956,1.5295103,1.8213648,4.6672487,-3.0702128,1.6301568,-0.9214536,-0.71415377,0.024123902,-0.0019498535,-0.060784757,-0.0053489204,-0.0047150603,0.03801013,-0.0022633558,0.0077121323,-48.61546,0.03306419,-0.03306419,-0.03365084,0.03365084,-0.0052158935,0.0052158935
-0.57393897,-0.57393897,-17.419712,-30.280834,-2.993445,0.3655411,43.97564,2.406988,1.7520888,4.62458,-3.0654628,1.5471368,-0.92747474,-0.6697298,0.020959344,-0.00012212025,-0.07269344,0.011955142,-0.0010087301,-0.010899207,0.0030978157,0.04696966,-48.51426,0.047771465,-0.047771465,-0.016315872,0.016315872,-0.0017416695,0.0017416695
-0.5819239,-0.5819239,-17.325903,-30.10757,-3.0331576,0.5376917,42.929096,3.2552054,1.6732863,4.593557,-3.0618482,1.5108912,-0.9224651,-0.6523253,0.04022713,0.0013225025,-0.0708786,-0.003715293,-0.019911377,-0.0010523022,-0.0018082699,0.06567294,-48.442524,0.014147814,-0.014147814,-0.046937246,0.046937246,0.009856725,-0.009856725
-0.5683138,-0.5683138,-17.26537,-29.927485,-2.9929695,0.70816576,41.904976,4.0876856,1.6853731,4.641482,-3.0637398,1.446913,-0.929901,-0.61625594,0.03990609,-0.013714578,-0.08840563,0.054459855,-0.016502602,-0.11457912,0.0030267166,0.09618354,-48.433216,0.04586169,-0.04586169,-0.04496082,0.04496082,-0.03962557,0.03962557
-0.5515577,-0.5515577,-17.19601,-29.822174,-2.852594,0.8701335,40.915524,4.8855247,1.6621058,4.6201267,-3.0637212,1.4470222,-0.9380026,-0.604225,0.05224336,-0.032079585,-0.084655866,0.03295573,-0.03206175,-0.07741251,0.0021583117,0.092990406,-48.36171,0.103960946,-0.103960946,-0.02437149,0.02437149,-0.04586169,0.04586169
-0.5226506,-0.5226506,-16.992025,-29.89307,-2.79171,1.0333056,39.946423,5.660671,1.6523466,4.5651712,-3.070611,1.3987393,-0.94753647,-0.6024184,0.038733076,-0.02751119,-0.09312999,0.051996823,-0.018918667,-0.07675089,0.0071086115,0.14401793,-48.328457,0.014428412,-0.014428412,-0.030171383,0.030171383,0.025546174,-0.025546174
-0.5360602,-0.5360602,-16.847275,-29.861618,-2.7075014,1.1887985,39.000324,6.4182806,1.608386,4.5817113,-3.061941,1.3625776,-0.9442098,-0.6235557,0.0443442,-0.025541823,-0.09394354,0.07361429,-0.02263482,-0.13406025,0.00376023,0.20132844,-48.22846,0.013350953,-0.013350953,-0.0061383173,0.0061383173,0.04686642,-0.04686642
-0.5342344,-0.5342344,-16.867867,-29.638275,-2.6489031,1.3416232,38.076454,7.142574,1.6333238,4.486331,-3.0540476,1.3708256,-0.9389291,-0.61087364,0.047831606,-0.034492325,-0.083402865,-0.07090773,-0.033418924,-0.027371239,0.003935408,0.17494063,-48.2078,0.089824736,-0.089824736,-0.007212378,0.007212378,-0.02288603,0.02288603
-0.56709605,-0.56709605,-16.643013,-29.537682,-2.7320118,1.4904711,37.179783,7.851389,1.5863404,4.4379253,-3.0358813,1.36113,-0.9463338,-0.5907733,0.052894875,-0.04926076,-0.074481755,-0.032433245,-0.027313158,-0.0126015,0.0019328957,0.17393494,-48.126556,0.024287105,-0.024287105,-0.011835093,0.011835093,0.032671727,-0.032671727
-0.58910215,-0.58910215,-16.589132,-29.496569,-2.5890934,1.6346861,36.307056,8.536148,1.5342895,4.373909,-3.037058,1.3329654,-0.94570017,-0.49803907,0.04532929,-0.041081045,-0.1052766,-0.050930627,-0.024364611,0.021530274,0.003335025,0.107301295,-48.057938,0.017356716,-0.017356716,-0.04021476,0.04021476,-0.04415763,0.04415763
-0.6078812,-0.6078812,-16.52542,-29.316498,-2.557098,1.7754238,35.453144,9.190364,1.5138283,4.262594,-3.0404906,1.2953969,-0.9473747,-0.46502155,0.054548223,-0.025307762,-0.14446113,-0.06483481,-0.02310488,0.09752623,0.008842035,0.107986785,-47.94667,0.030589763,-0.030589763,-0.010269484,0.010269484,0.011194168,-0.011194168
-0.6328545,-0.6328545,-16.238037,-29.354536,-2.4416046,1.9155955,34.617958,9.829277,1.4837048,4.2542734,-3.0349529,1.3051834,-0.9475752,-0.47632474,0.05824825,-0.040975165,-0.1195441,-0.07025353,-0.026382437,0.11345316,0.010598536,0.107996926,-47.838917,0.055733584,-0.055733584,0.00883838,-0.00883838,0.033140663,-0.033140663
-0.6087342,-0.6087342,-16.059324,-29.240643,-2.4372518,2.043382,33.81252,10.434873,1.5174141,4.289483,-3.0393348,1.2851646,-0.9431673,-0.44731227,0.059292994,-0.034696642,-0.14037198,-0.033943843,-0.01829436,0.05462656,-0.0014348442,0.10660493,-47.80163,0.056589287,-0.056589287,0.0050923107,-0.0050923107,-0.008217487,0.008217487
-0.59996665,-0.59996665,-16.0077,-29.003746,-2.4679735,2.1675467,33.029213,11.0334635,1.5140654,4.260924,-3.0444837,1.256641,-0.93794286,-0.36217237,0.09115821,-0.036707453,-0.16573708,0.016805695,-0.031671256,0.07343115,0.0035162005,0.039786324,-47.751762,0.07261905,-0.07261905,-0.010871237,0.010871237,-0.0094183935,0.0094183935
-0.60065657,-0.60065657,-15.892126,-29.071814,-2.2602196,2.2899857,32.260914,11.60814,1.5234103,4.2359896,-3.05023,1.235495,-0.93556607,-0.35839087,0.1163651,-0.04183979,-0.17986321,0.021761542,-0.036910813,0.088332936,0.0009231581,0.05738794,-47.70293,0.045523524,-0.045523524,-0.026256088,0.026256088,0.026156079,-0.026156079
-0.63668215,-0.63668215,-15.721317,-28.88721,-2.3013225,2.4071536,31.5112,12.1639385,1.5282462,4.2684336,-3.0621648,1.2110039,-0.9423377,-0.36707124,0.12367178,-0.027770143,-0.1977078,0.034197524,-0.04122038,0.047899034,0.0059715966,0.09224337,-47.636703,0.040632125,-0.040632125,-0.03359558,0.03359558,0.037284277,-0.037284277
-0.61769664,-0.61769664,-15.573925,-28.727518,-2.3801203,2.5171578,30.779703,12.705137,1.5818416,4.2399163,-3.063766,1.2203177,-0.92989445,-0.42626673,0.11873026,-0.017158858,-0.18110108,-0.12200699,-0.048958655,0.095169306,0.013740095,0.12189594,-47.58052,0.05257818,-0.05257818,-0.0046736225,0.0046736225,-0.019691035,0.019691035
-0.6214276,-0.6214276,-15.547092,-28.49724,-2.4424849,2.6326284,30.059343,13.235426,1.5491679,4.277953,-3.0487702,1.1960714,-0.92916304,-0.47165895,0.1081721,-0.017783431,-0.17233075,-0.09197913,-0.0535696,0.022474766,0.013479648,0.1910788,-47.500546,0.061204545,-0.061204545,-0.032977052,0.032977052,-0.00045955833,0.00045955833
-0.63976455,-0.63976455,-15.400801,-28.424372,-2.387466,2.744917,29.362255,13.727181,1.5703968,4.251429,-3.0572133,1.1975905,-0.9318383,-0.437177,0.09229552,-0.010977637,-0.17876285,-0.096434474,-0.049549047,0.055076152,0.011612518,0.15965348,-47.417908,0.03933221,-0.03933221,-0.023220401,0.023220401,-0.017087521,0.017087521
-0.6730345,-0.6730345,-15.252968,-28.33421,-2.3646395,2.8457344,28.68768,14.210987,1.6406355,4.183717,-3.0558195,1.15468,-0.9336416,-0.4568482,0.09606584,-0.0041479752,-0.186754,-0.20036888,-0.04059854,0.06975275,0.015093147,0.22058377,-47.3669,0.029581547,-0.029581547,0.0072788317,-0.0072788317,-0.030373959,0.030373959
-0.645911,-0.645911,-15.22407,-28.16947,-2.384464,2.946649,28.026642,14.687656,1.6207689,4.0823984,-3.0569723,1.0758457,-0.93552274,-0.48594025,0.07637924,0.008663556,-0.19712533,-0.3191286,-0.030749759,0.08363674,0.017016057,0.3284329,-47.29167,0.029410182,-0.029410182,-0.020417674,0.020417674,-0.032874573,0.032874573
