xR,xEGF,xRa,xR2,xRP,xPLCg,xRPL,xRPLP,xPLCgP,xGrb,xRG,xSOS,xRGS,xGS,xShc,xRSh,xRShP,xShP,xRShG,xShG,xRShGS,xShGS,xPLCgPl
-0.59956974,-0.5995695,-17.405497,-30.295132,-3.6044958,-0.1785235,47.26685,-0.31775317,2.0060418,4.6457267,-3.067312,1.5784148,-0.9123803,-0.6660345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.795147
-0.60629135,-0.6062911,-17.308098,-30.079155,-3.513558,-0.0817217,46.696884,0.15681523,1.9642246,4.5886106,-3.0616946,1.557589,-0.91437244,-0.6543912,-0.007876253,0.018201418,-0.026772339,-0.031061362,0.008992405,0.021743733,0.003213718,0.007938886,-48.757683
-0.6018509,-0.6018507,-17.275166,-29.785915,-3.5555086,0.011691145,46.13738,0.6201418,1.8910391,4.5776725,-3.0555208,1.5300871,-0.9227296,-0.63249266,-0.0041730907,0.022148535,-0.04573123,-0.014134814,0.011673501,-0.0036640652,0.0066839205,0.018408038,-48.680473
-0.61467385,-0.6146736,-17.176746,-29.605007,-3.3819935,0.10620618,45.58382,1.0733322,1.8907638,4.5682416,-3.0421681,1.5276794,-0.92554206,-0.67501664,0.01263964,0.006997633,-0.044061113,-0.0669132,0.0076985275,-0.006046844,0.012436655,0.06039909,-48.67488
-0.5894269,-0.58942664,-17.197313,-29.266094,-3.4123397,0.19670716,45.037216,1.5268894,1.8595514,4.556937,-3.0469213,1.500224,-0.92556787,-0.63817775,0.019214064,-0.0056172838,-0.041867048,-0.039158538,-0.0010417502,-0.008730011,0.011403287,0.05209918,-48.63987
-0.5899802,-0.58997995,-17.126959,-28.957605,-3.3223152,0.28853732,44.49409,1.968789,1.8061419,4.5091248,-3.0523467,1.4712778,-0.9246908,-0.60997283,0.023807557,0.0004007956,-0.05141151,-0.065339945,0.0088451905,0.005575726,0.0059594465,0.057399277,-48.57624
-0.56942725,-0.569427,-17.107746,-28.748726,-3.1293921,0.3752388,43.965187,2.403993,1.7636108,4.5463557,-3.057973,1.4420406,-0.9253522,-0.64478767,0.015643552,0.01994582,-0.06750697,-0.07001886,0.0045454763,-0.05080407,0.0101657715,0.11789559,-48.529522
-0.569158,-0.5691578,-17.05514,-28.51383,-3.1245785,0.46155807,43.440617,2.8356586,1.7005446,4.5347505,-3.044523,1.4504309,-0.9314408,-0.6225478,0.018187396,0.010764775,-0.07352367,-0.042553425,0.0052000973,-0.044725187,0.0071512503,0.09638302,-48.4617
-0.57741505,-0.5774148,-17.083466,-28.254242,-3.1249576,0.54699355,42.926823,3.2546923,1.6870012,4.507208,-3.0436516,1.4088359,-0.93072796,-0.63474166,0.021728903,0.0038941647,-0.054079775,-0.09550357,0.0073186588,-0.06163492,0.00079232274,0.15582657,-48.438065
-0.60336626,-0.603366,-16.911188,-27.975733,-3.1170304,0.63491476,42.41527,3.6657102,1.7025558,4.4533763,-3.039561,1.403626,-0.9328645,-0.6208527,0.026914505,-0.00127416,-0.054646663,-0.13610357,0.010534643,-0.020270035,-0.0007878519,0.15086834,-48.439613
-0.60844356,-0.6084433,-16.86378,-27.672028,-3.1287909,0.72258866,41.903927,4.0808764,1.6800718,4.4639645,-3.0321825,1.3992275,-0.9336682,-0.6166475,0.0420672,-0.026103584,-0.04075069,-0.1288603,0.0056674825,-0.037830684,0.0018425699,0.1492554,-48.40785
-0.6059745,-0.6059742,-16.793436,-27.415264,-3.042642,0.80086946,41.40623,4.4852743,1.6506498,4.414071,-3.026519,1.3962395,-0.9381275,-0.61400676,0.061499875,-0.039860677,-0.055273023,-0.16069582,0.0019119398,0.007192279,-0.00120205,0.15713628,-48.362938
-0.60753936,-0.6075391,-16.801384,-27.115433,-2.948935,0.8838302,40.91533,4.875347,1.6315867,4.442015,-3.0329647,1.3756145,-0.940567,-0.619516,0.06290822,-0.03647307,-0.043850012,-0.16891086,-0.0061538178,-0.02700707,0.0014031497,0.18311949,-48.327106
-0.59407,-0.5940698,-16.758772,-26.904436,-2.857141,0.9610338,40.433422,5.257451,1.6467407,4.409093,-3.028858,1.3489904,-0.9395999,-0.61435425,0.06690197,-0.03197434,-0.04816467,-0.1973107,-0.0071113724,-0.024063054,0.0060800635,0.1989532,-48.318867
-0.5842213,-0.58422107,-16.69637,-26.607819,-2.7615001,1.041605,39.952484,5.6384616,1.6773212,4.416337,-3.0346463,1.2811307,-0.9320626,-0.6151289,0.06156823,-0.020223953,-0.038878813,-0.20176551,-0.015092127,-0.08541612,0.004827204,0.26129487,-48.330685
-0.5747041,-0.5747039,-16.67092,-26.32233,-2.8097746,1.1211373,39.475327,6.018252,1.6453187,4.416474,-3.0332053,1.2634816,-0.93775266,-0.5788506,0.060193002,-0.009572916,-0.050530102,-0.16920866,-0.015343386,-0.104268365,0.0055748513,0.24759811,-48.285122
-0.5664899,-0.56648964,-16.584246,-26.084759,-2.7524927,1.1979065,39.009422,6.386281,1.6567254,4.3736734,-3.0356026,1.2835019,-0.9366144,-0.5215552,0.06507783,-0.016281616,-0.05108846,-0.14735009,-0.0076045697,-0.046762142,0.008337602,0.16639483,-48.27695
-0.5628495,-0.5628493,-16.493473,-25.854374,-2.6687264,1.2758994,38.546165,6.751631,1.6338053,4.378701,-3.0379505,1.2688339,-0.92956245,-0.56288075,0.06635165,-0.016483333,-0.052673716,-0.17207655,-0.017072238,-0.054704253,0.013534591,0.21015906,-48.231056
-0.5656965,-0.5656962,-16.3554,-25.619423,-2.6938207,1.3505046,38.089424,7.108315,1.6358652,4.3534517,-3.0449421,1.2376146,-0.9282607,-0.5826072,0.05730837,-0.009614547,-0.053448472,-0.2216098,-0.018489618,-0.052347947,0.010628405,0.26270267,-48.208267
-0.5882011,-0.58820087,-16.28369,-25.387589,-2.5898442,1.4233363,37.64067,7.46208,1.6158857,4.304929,-3.0391088,1.2345567,-0.9216167,-0.5419493,0.06352451,-0.017002549,-0.038172804,-0.22835132,-0.02466863,-0.0066576046,0.013227714,0.21584015,-48.1643
-0.56052965,-0.5605294,-16.299047,-25.170902,-2.543414,1.4960223,37.193,7.8152804,1.6218195,4.2881684,-3.037025,1.2339673,-0.92671907,-0.5367713,0.08439262,-0.04645455,-0.04243494,-0.22386974,-0.025643226,0.008497656,0.0182051,0.21135531,-48.149963
-0.56732357,-0.5673234,-16.163124,-24.906784,-2.5203629,1.5694103,36.750053,8.158756,1.6199924,4.266861,-3.0359542,1.2081064,-0.92851585,-0.5389055,0.09068135,-0.052206937,-0.038027905,-0.25039485,-0.018082893,-0.0046600224,0.015462837,0.24390459,-48.12161
-0.5593074,-0.55930716,-16.038382,-24.832579,-2.4694247,1.6395795,36.320522,8.494973,1.5889688,4.251902,-3.03976,1.193493,-0.9215575,-0.5569215,0.097800285,-0.040578913,-0.059759595,-0.27904648,-0.016292868,-0.0023032392,0.015666207,0.26934984,-48.068077
-0.55455816,-0.5545579,-15.963051,-24.627747,-2.4055824,1.7098086,35.89444,8.822752,1.5823988,4.1878214,-3.0364246,1.1496744,-0.9283651,-0.5224428,0.101439655,-0.039269708,-0.063828245,-0.31195813,-0.009366959,0.007607242,0.010511152,0.2906375,-48.036247
-0.5707801,-0.57077986,-15.876112,-24.477814,-2.3127449,1.7754266,35.46951,9.150803,1.6504565,4.1436644,-3.0455008,1.1233504,-0.9239097,-0.51375824,0.10501041,-0.03525242,-0.07474297,-0.34325838,-0.005432238,0.030408503,0.0064303493,0.3078773,-48.073914
-0.5621568,-0.5621566,-15.824749,-24.327011,-2.2687776,1.8420546,35.05411,9.468105,1.6482003,4.1650543,-3.0492692,1.1091548,-0.9193388,-0.5263099,0.110980146,-0.03613683,-0.096786335,-0.30742228,-0.022264956,0.015333399,0.008800364,0.32767692,-48.03857
-0.56073356,-0.5607333,-15.764662,-24.155064,-2.1374478,1.9079086,34.644745,9.774546,1.6282015,4.154299,-3.0473237,1.0811607,-0.9122857,-0.51047075,0.117894955,-0.043704838,-0.10757958,-0.28614742,-0.03681369,0.010656805,0.010635984,0.33094332,-47.98435
-0.55018467,-0.5501844,-15.748583,-23.99862,-2.0078561,1.9789729,34.22662,10.097602,1.6333368,4.088747,-3.0381737,1.0338442,-0.9197559,-0.47929388,0.12077999,-0.05209352,-0.09497124,-0.3265455,-0.0359528,0.018728616,0.0052546663,0.35992253,-47.966175
-0.5405157,-0.5405155,-15.555513,-23.912355,-1.8400931,2.0434766,33.826717,10.406374,1.6349721,4.059866,-3.0418825,1.0414011,-0.9204186,-0.45309106,0.12114489,-0.052144323,-0.099136546,-0.32814643,-0.029840557,0.05285857,-0.00023572009,0.33230034,-47.938534
-0.5385676,-0.53856736,-15.444197,-23.783419,-1.7895045,2.103673,33.43183,10.709022,1.6757745,4.047267,-3.038954,1.001066,-0.9232152,-0.42433697,0.12556355,-0.054791544,-0.111223355,-0.31054926,-0.03317093,0.025591392,0.0039179316,0.34253135,-47.949604
-0.533911,-0.53391075,-15.280111,-23.53226,-1.8650479,2.1699002,33.03667,11.006187,1.7028024,4.0590734,-3.0191789,1.0255624,-0.93259853,-0.4475488,0.12091755,-0.05267206,-0.10424261,-0.3170146,-0.02710118,0.012501742,0.0067612296,0.34781608,-47.94332
-0.5378468,-0.53784657,-15.279499,-23.44832,-1.6071134,2.2300797,32.652916,11.3020735,1.682497,4.0425787,-3.0156827,1.0123326,-0.93006206,-0.47686684,0.12832616,-0.04404329,-0.12027639,-0.35738716,-0.031599935,0.016742356,0.0008696029,0.39373282,-47.895115
-0.53340167,-0.53340137,-15.221002,-23.1858,-1.6441754,2.2921453,32.273804,11.585388,1.6937749,4.020361,-3.0182476,0.993374,-0.92803,-0.45993313,0.1317556,-0.041395146,-0.117719755,-0.37476653,-0.02036212,0.011360846,0.0052452045,0.38935643,-47.874546
-0.53073716,-0.5307369,-15.156171,-23.065832,-1.5895572,2.351421,31.904497,11.857102,1.6855403,4.05383,-3.024269,0.9666012,-0.929526,-0.43815643,0.12792516,-0.04108211,-0.1100947,-0.33505958,-0.023635836,-0.039567046,0.009111121,0.39199165,-47.827644
-0.55253136,-0.55253106,-15.132383,-22.883495,-1.5943296,2.4093933,31.53678,12.136558,1.6899941,3.9771104,-3.016152,0.94398564,-0.9332831,-0.41359526,0.13506462,-0.050111912,-0.10959755,-0.38470203,-0.020998431,0.0037112767,0.009308595,0.39362723,-47.80385
-0.5663082,-0.56630796,-15.151074,-22.577513,-1.6831338,2.4678638,31.16826,12.412235,1.7204094,3.9599075,-3.0136056,0.9321749,-0.9307975,-0.4676571,0.13267978,-0.055825368,-0.10918652,-0.4422693,-0.02030843,0.005926085,0.013856504,0.45246807,-47.80043
-0.5614879,-0.5614877,-15.168466,-22.249817,-1.7384878,2.5233908,30.805538,12.678397,1.6874027,3.9531162,-3.0127215,0.9760171,-0.9305627,-0.4659264,0.13343403,-0.065222695,-0.09009447,-0.45738304,-0.028343655,0.063711725,0.017398328,0.40310946,-47.727367
-0.5591486,-0.5591484,-15.11595,-22.105555,-1.6833146,2.5818555,30.443707,12.944,1.6772116,3.9465861,-3.0154607,0.9302684,-0.9313416,-0.4300797,0.12377326,-0.053048264,-0.08422532,-0.43951786,-0.024119755,0.023077365,0.015238466,0.41597193,-47.68121
-0.5742186,-0.5742184,-15.065185,-21.93069,-1.6970088,2.6394792,30.093454,13.202116,1.6863483,3.9501777,-3.0074525,0.96803343,-0.9326011,-0.4395967,0.1260086,-0.05012671,-0.08850784,-0.44553286,-0.01943079,0.044592068,0.016062936,0.38817778,-47.65766
-0.5717379,-0.57173765,-15.05154,-21.7707,-1.7059828,2.6954868,29.741604,13.455667,1.706399,3.9408746,-2.9997363,0.9717709,-0.93109673,-0.40991288,0.12725152,-0.046456177,-0.081932075,-0.4216778,-0.03401055,0.06455178,0.020268312,0.34905887,-47.635696
-0.5812858,-0.58128554,-14.957634,-21.687546,-1.671277,2.7505343,29.394806,13.703353,1.7258034,3.930288,-2.9987617,0.9364908,-0.93415344,-0.39319518,0.1208257,-0.048596334,-0.0751272,-0.41340625,-0.030840486,0.035749625,0.021508766,0.36945346,-47.612793
-0.59263504,-0.59263486,-14.877025,-21.470215,-1.6925765,2.8031006,29.055994,13.946005,1.7423153,3.9185026,-2.9932282,0.94789094,-0.93049127,-0.3723238,0.11608814,-0.034633562,-0.08479998,-0.3915183,-0.035905167,0.058469128,0.019981809,0.33506343,-47.589584
-0.5646832,-0.56468296,-14.915279,-21.257881,-1.5730424,2.8535964,28.719255,14.191033,1.7196088,3.9425235,-2.994579,0.97181374,-0.92945075,-0.3781973,0.11400702,-0.034426667,-0.0930636,-0.36322287,-0.029621314,0.053450886,0.024526559,0.31143343,-47.52906
-0.5705513,-0.57055104,-14.847664,-21.013231,-1.6636362,2.9048696,28.3899,14.423358,1.772647,3.8897703,-2.9872355,0.9583854,-0.9258089,-0.38277575,0.10475398,-0.026481748,-0.09296217,-0.41324505,-0.026400205,0.08225414,0.024779176,0.32554725,-47.53795
-0.5906414,-0.59064114,-14.758161,-20.82051,-1.5596023,2.957247,28.060804,14.657146,1.7646414,3.8813884,-2.9843073,0.9510177,-0.92563266,-0.3833152,0.1170773,-0.022179604,-0.09656497,-0.43645406,-0.024430584,0.07841521,0.022024317,0.33604077,-47.489037
-0.6075756,-0.60757536,-14.710171,-20.615297,-1.5081643,3.0071068,27.7356,14.88373,1.7800816,3.8610175,-2.9816198,0.95844775,-0.92081434,-0.3445557,0.115683004,-0.013309388,-0.09237988,-0.4368985,-0.017982395,0.09707427,0.01960681,0.28744859,-47.45859
-0.6107027,-0.6107024,-14.627243,-20.445045,-1.5733197,3.0536628,27.422411,15.110915,1.759491,3.8703048,-2.981534,0.945017,-0.92207927,-0.39835775,0.11431156,-0.012325616,-0.07806813,-0.49059695,-0.02208494,0.07836423,0.018412355,0.3571456,-47.400555
-0.61888695,-0.6188867,-14.493256,-20.254114,-1.5743037,3.1030014,27.109533,15.324007,1.747714,3.8316662,-2.9830773,0.9410875,-0.91588914,-0.4218706,0.111814275,-0.024115516,-0.06878917,-0.5467909,-0.018674815,0.11122144,0.019857418,0.37696669,-47.341373
-0.61524105,-0.6152408,-14.4898615,-20.00566,-1.6087292,3.1531422,26.798334,15.536838,1.7467135,3.8133178,-2.981258,0.9330877,-0.9157525,-0.4238578,0.10653808,-0.011493044,-0.08477994,-0.5552082,-0.011934181,0.11304656,0.0132078305,0.39348418,-47.2927
-0.60435945,-0.6043592,-14.449017,-19.840118,-1.6082113,3.1997342,26.495117,15.743955,1.7889907,3.8109975,-2.986181,0.9292177,-0.91420585,-0.3888529,0.110396266,-0.009757833,-0.07388593,-0.54809046,-0.012410032,0.11688748,0.0077893,0.36624545,-47.286865
-0.60844296,-0.60844266,-14.407294,-19.711514,-1.5866014,3.2483802,26.188503,15.9486,1.8021835,3.7824094,-2.9956384,0.90931034,-0.9136149,-0.3393733,0.10427968,-0.0003523341,-0.06741096,-0.55431587,-0.008604757,0.13116887,0.00529683,0.33859628,-47.248
-0.6149817,-0.6149815,-14.231894,-19.67474,-1.5431957,3.2952409,25.888046,16.153393,1.8788235,3.7639632,-2.9943326,0.9122482,-0.9151624,-0.27561757,0.10418836,0.007027851,-0.07308159,-0.51384443,-0.0027583693,0.14537731,0.0050387043,0.27372432,-47.277023
-0.5763701,-0.5763699,-14.232275,-19.555075,-1.5084051,3.3382816,25.600445,16.35246,1.8747362,3.7501404,-2.9916346,0.9261048,-0.90856904,-0.28480545,0.10265167,0.0065301517,-0.06474189,-0.527651,-0.009764808,0.177379,0.004007275,0.2635026,-47.227795
-0.5562953,-0.55629504,-14.201856,-19.348028,-1.5604608,3.3834453,25.31008,16.54579,1.904415,3.7128234,-2.9912176,0.8992119,-0.9176961,-0.28265387,0.10088389,0.0091588255,-0.042772982,-0.5915556,-0.010704644,0.18830241,0.0022877664,0.2991027,-47.20353
-0.55186236,-0.5518621,-14.133287,-19.20449,-1.4875051,3.4221716,25.021639,16.747782,1.9314878,3.7388792,-3.004106,0.8865981,-0.91618985,-0.27416414,0.10103218,0.000582202,-0.035126768,-0.5631009,-0.01569907,0.16746448,-0.002416993,0.306437,-47.18372
-0.5562198,-0.5562196,-14.055038,-19.0693,-1.4141982,3.4637885,24.736124,16.94482,1.9286624,3.7607603,-3.0015643,0.87206805,-0.9108592,-0.27344918,0.09957337,0.005093716,-0.03746834,-0.5401124,-0.014198596,0.126953,-0.004751911,0.31727323,-47.136047
